kodomo ga imasu|have a child
nihon ni imasu|stay in Japan
kakarimasu|take (referring to time or money)
hitotsu|one
futatsu|two
mittsu|three
yottsu|four
itsutsu|five
muttsu|six
nanatsu|seven
yattsu|eight
kokonotsu|nine
too|ten
ikutsu|how many
hitori|one person
futari|two persons
nin|~ people
dai|counter for machines, cars, etc.
mai|counter for paper, stamps, etc. (flat/thin things)
kai|~ times
ringo|apple
mikan|mandarin orange
sandoicchi|sandwich
karii raisu|curry and rice
aisukuriimu|ice cream
kitte|postage stamp
hagaki|post card
fuutou|envelope
sokutatsu|special delivery
kakitome|registered mail
eameeru|air mail
funabin|sea mail
ryoushin|parents
kyoudai|brothers and sisters
ani|(my) elder brother
oniisan|(someone else's) elder brother
ane|(my) elder sister
oneesan|(someone else's) elder sister
otouto|(my) younger brother
otoutosan|(someone else's) younger brother
imouto|(my) younger sister
imoutosan|(someone else's) younger sister
gaikoku|foreign country
jikan|- hours
shuukan|- weeks
kagetsu|- months
nen|- years
gurai|about ~
donokurai|how long (time)
zenbude|in total
minna|all, everything
dake|only ~
irasshaimase|Welcome/May I help you
ii otenki desu ne|nice weather, isn't it?
odekake desu ka|are you going out?
chotto - made|I'm just going to -
itteirasshai|So long (lit: go and come back)
ittemairimasu|So long(lit: I'm going and coming back)
sore kara|and, furthermore
