annyeong haseyo|hello/hi (greeting)
gamsa hapnida|thank you
ne|yes, agreement
ani yo|no, disagreement
mollayo|I don't know
annyeonghi gyeseyo|good bye (stay in peace)
annyeonghi gaseyo|good bye (go in peace)
joesong hapnida|I'm sorry, I apologize
jeogiyo|excuse me (seeking attention)
majayo|that's right
joayo|it's good
masisseoyo|it's tasty
madeopseoyo|it's not tasty
jalmeokgesseumnida|thanks for the meal (before eating)
jalmeogeosseumnida|thanks for the meal (after eating)
jeogi|over there
yeogi|here
uwa|wow
gwaenchanayo|it's ok
geulsseyo|well...
baegopayo|I'm hungry
