ie|house
heya|room
ima|living room
daidokoro|kitchen
reizouko|refridgerator
otearai|bathroom (polite)
toire|bathroom
nagashidai|sink
ofuro|bath
ofuroba|bath-room
yane|roof
tenjou|ceiling
kabe|wall
yuka|hardwood floor
doa|door
mado|window
hon|book
hondana|bookshelf
isu|chair
teeburu|table
beddo|bed
tatami|tatami
shouji|sliding paper door
futon|futon
terebi|TV
rajio|radio
tokei|clock/watch
eakon|air conditioning
sara|plate
chawan|bowl
koppu|cup/glass
ohashi|chopsticks
houku|fork
supuun|spoon
naifu|knife
teeburu|table
kauchi|couch
konpyuuta|computer
