minasan|everyone/all of you
hajimemashou|let's start
owarimashou|let's finish
ii desu|good/ok
dame desu|no good/cannot
mou ichido|once more/repeat
mou ichido onegaishimasu|please repeat
mite kudasai|please look
kiite kudasai|please listen
itte kudasai|please say
yonde kudasai|please read
kaite kudasai|please write
renshuu shite kudasai|please practice
chotto matte kudasai|please wait a moment
wakarimasu ka?|do you understand?
hai, wakarimasu|yes, I understand
iie, wakarimasen|no, I don't understand
shitsumon ga arimasu ka?|do you have questions?
hai, arimasu|yes, I have questions (in context)
iie, arimasen|no, I don't have questions (in context)
shukudai|homework
fukushuu|review
