kamera|camera
kurasu|class
kurisumasu|christmas
keeki|cake
koosu|course
koohii|coffee
soosu|sauce
takushii|taxi
tesuto|test
tenisu|tennis
naifu|knife
nekutai|necktie
mareeshia|Malaysia
resutoran|restaurant
wain|wine
ajia|Asia
erebeetaa|elevator
shingapooru|Singapore
terebi|television
hanbaagaa|hamburger
pan|bread/pastries
shatsu|shirt
juusu|juice
chokoreeto|chocolate
konpyuutaa|computer
shaapupenshiru|mechanical pencil
intaanetto|internet
sakkaa|soccer
sandoicchi|sandwich
shoppingu|shopping
hocchikisu|stapler
yooroppa|Europe
sofa|sofa
fasshon|fashion
paatii|party
kyandii|candy
purojekuto|project
fooku|fork
