silmang|disappointment
yeongeo|English (language)
banji|ring
geomeunsaek|black
eopda|to not have, to not be, to not exist
yag|medicine
gyeorhon|marriage, wedding
malhada|to talk, to speak
dwi|behind, after
gabyeopda|to be light
anida|to not be
jjajeung|frustration, anger, irritation
moreuda|to not know
geongang|health
chaeso|vegetable
seonggong|success
sinbal|shoe
billyeojuda|to lend
pen|pen
swibda|to be easy
oreunjjog|right side, right-hand side
jadongcha|car
gamgi|cold
moja|hat, cap
jigap|wallet
otobai|motorcycle
matda|to be correct, to be right
sada|to buy
juchajang|parking lot
bal|foot
piryohada|to need, to be necessary
palda|to sell
saegkkal|color
apeuda|to be sick, to hurt
ggeurhida|to boil
biseuthada|to be similar
hyuji|tissue, toilet paper, trash
swida|to rest
sagwa|apple
nollada|to be surprised
yori|cooking, food, dish
geonneoda|to cross
geugeot|it, that
juso|address
usan|umbrella
uju|cosmos, universe, space
beolle|bug, worm
dareuda|to be different
igida|to win
daneo|word
