kirimasu|cut, slice
okurimasu|send
agemasu|give
moraimasu|receive
kashimasu|lend
karimasu|borrow
oshiemasu|teach
naraimasu|learn
kakemasu|make
te|hand, arm
hashi|chopsticks
supuun|spoon
naifu|knife
fooku|fork
hasami|scissors
fakusu|fax
waapuro|word processor
pasokon|personal computer
panchi|punch
hocchikisu|stapler
seroteepu|scotch tape
keshigomu|eraser
kami|paper
hana|flower, blossom
shatsu|shirt
purezento|present
nimotsu|baggage, parcel
okane|money
kippu|ticket
kurisumasu|Christmas
chichi|(my) father
haha|(my) mother
otousan|(someone else's) father
okaasan|(someone else's) mother
mou|already
mada|not yet
korekara|from now on, soon
X sutekidesune|what a nice X!
gomenkudasai|excuse me/anyone home?/may I come in?
irasshai|how nice of you to come in!
douzo oagari kudasai|do come in
shitsurei shimasu|thank you/may I?
ikaga desu ka|won't you have -?
itadakimasu|thank you, I accept
ryokou|trip, tour
omiyage|souvenir, present
