asobimasu|enjoy oneself, play
oyogimasu|swim
mukaemasu|go to meet, welcome
tsukaremasu|get tired
dashimasu|send
hairimasu|enter
demasu|go out
kekkon shimasu|marry, get married
kaimono shimasu|do shopping
shokuji shimasu|have a meal, dine
sanpo shimasu|take a walk
taihen|hard, tough, severe, awful
hoshii|want (something)
sabishii|lonely
hiroi|wide, spacious
semai|narrow, small
shiyakusho|municipal office, city hall
puuru|swimming pool
kawa|river
keizai|economy
bijutsu|fine arts
tsuri|fishing
sukii|skiing
kaigi|meeting, conference
touroku|registration
shuumatsu|weekend
goro|about (time)
nanika|something
dokoka|somewhere
onaka ga sukimashita|(I'm) hungry
onaka ga ippai desu|(I'm) full
nodo ga kawakimashita|(I'm) thirsty
sou desu ne|I agree with you
sou shimashou|let's do that
gochuumon wa|may I take your order?
teishoku|set meal
gyuudon|bowl of rice topped with beef
omachi kudasai|please wait a moment
betsubetsu|separately
