hajimarimasu|start/begin
jugyou|class/lesson
mae|before/front (time)
choudo|exactly (time)
denwa bangou|telephone number
ii desu ne|that's good
arubaito|part-time job
okimasu|get up, wake up
nemasu|sleep, go to bed
hatarakimasu|work
yasumimasu|take a rest, take a holiday
benkyoushimasu|study
owarimasu|finish
depaato|department store
ginkou|bank
yuubinkyoku|post office
toshokan|library
bijutsukan|art museum
ima|now
ji|o'clock
fun|minute
han|half
nanji|what time
nanpun|what minute
gozen|a.m.
gogo|p.m.
asa|morning
hiru|daytime, noon
ban|night
ototoi|day before yesterday
kinou|yesterday
kyou|today
ashita|tomorrow
asatte|day after tomorrow
kesa|this morning
konban|this evening, tonight
yasumi|rest, holiday, day off
hiruyasumi|lunchtime
maiasa|every morning
maiban|every night
mainichi|every day
getsuyoubi|monday
kayoubi|tuesday
suiyoubi|wednesday
mokuyoubi|thursday
kinyoubi|friday
doyoubi|saturday
nichiyoubi|sunday
nanyoubi|what day of the week
bangou|number
nanban|what number
kara|from
made|up to/until
to|and (used to connect nouns)
sochira|your place
taihendesune|that's tough, isn't it? (express sympathy)
eeto|well, let me see
onegaishimasu|please (ask for favor)
kashikomarimashita|certainly
otoiawase no bangou|the number being inquired about
doumo arigatou gozaimashita|thank you very much
